iter	Logloss
0	0.6602823076
1	0.6362565915
2	0.6154031126
3	0.6002682253
4	0.5851579534
5	0.5708084899
6	0.5605050297
7	0.5515419005
8	0.5441416779
9	0.537061288
10	0.5307381731
11	0.5259561003
12	0.5211056416
13	0.5150068361
14	0.5098952297
15	0.5078792366
16	0.5038528543
17	0.5017674716
18	0.4975033743
19	0.4955221714
20	0.4937443228
21	0.4918377414
22	0.4889567356
23	0.4879343896
24	0.4857658576
25	0.4836228059
26	0.4823040155
27	0.4813319507
28	0.4802889254
29	0.479095204
30	0.4780691424
31	0.4772901259
32	0.4765055483
33	0.475618639
34	0.4742639643
35	0.4734142549
36	0.4721195329
37	0.4713357481
38	0.4707302101
39	0.4699938869
40	0.4694382554
41	0.4689149267
42	0.4681571542
43	0.4675565542
44	0.4668049676
45	0.4662831893
46	0.4658799535
47	0.4653520418
48	0.464740086
49	0.4641505492
50	0.4633977653
51	0.4627972206
52	0.4625749194
53	0.4619261772
54	0.4616804304
55	0.4612213374
56	0.4604614265
57	0.4601672506
58	0.4595811057
59	0.4593284529
60	0.4588420957
61	0.4581924362
62	0.4577037347
63	0.4575111218
64	0.4571752847
65	0.4566153355
66	0.4560412927
67	0.4554228832
68	0.4550586532
69	0.4546555056
70	0.4543171716
71	0.453830659
72	0.4536482604
73	0.4530886859
74	0.452830956
75	0.4526814246
76	0.4524432352
77	0.4520009956
78	0.4516936923
79	0.4511795246
80	0.4501851942
81	0.4496940021
82	0.4494428506
83	0.4491026885
84	0.4484821942
85	0.4480789695
86	0.4477291843
87	0.4474989862
88	0.4471920106
89	0.4464749537
90	0.4463256562
91	0.4462433384
92	0.4461893698
93	0.4459070045
94	0.4453774902
95	0.4450580412
96	0.444519992
97	0.444406759
98	0.4442399687
99	0.4441301457
100	0.4438237724
101	0.4436691346
102	0.4431488968
103	0.4429943187
104	0.4426748474
105	0.4425865703
106	0.4425319452
107	0.4420969194
108	0.4419650775
109	0.4418564179
110	0.4417399839
111	0.4416446463
112	0.4413224787
113	0.44115607
114	0.4408493315
115	0.4408023951
116	0.4407208674
117	0.4405483931
118	0.4404266471
119	0.4403972832
120	0.4401336973
121	0.439946064
122	0.439897695
123	0.4398095198
124	0.4397131723
125	0.4394993048
126	0.4394629323
127	0.4391961513
128	0.4389918392
129	0.4386140547
130	0.4385542636
131	0.4384753503
132	0.438163791
133	0.4381093342
134	0.4380270491
135	0.4376888659
136	0.4375997878
137	0.4370713936
138	0.436899929
139	0.4366081577
140	0.4365517762
141	0.4364446523
142	0.4356019524
143	0.4355186647
144	0.4354469246
145	0.4353732407
146	0.4353432444
147	0.4353152683
148	0.4351969416
149	0.4351222165
150	0.4349486305
151	0.434917766
152	0.4345277804
153	0.4338074511
154	0.4335475655
155	0.4334784951
156	0.4333300461
157	0.4331060648
158	0.4330907328
159	0.433039687
160	0.4329985722
161	0.432347671
162	0.4317012676
163	0.4311043624
164	0.4308024232
165	0.4303983808
166	0.4301995605
167	0.4300901912
168	0.4299953667
169	0.4296677257
170	0.4296042989
171	0.4293711275
172	0.4291272457
173	0.4290438564
174	0.4289984787
175	0.4289051906
176	0.4287486457
177	0.4287237158
178	0.4284292236
179	0.4273525633
180	0.4271162013
181	0.4270719161
182	0.4268631757
183	0.4266400587
184	0.4266015092
185	0.4261802413
186	0.4259562107
187	0.4259294801
188	0.4258759297
189	0.425834412
190	0.4257737261
191	0.4256540913
192	0.4256305697
193	0.4255861779
194	0.4250345021
195	0.4242740868
196	0.4232083186
197	0.4229404512
198	0.4225422232
199	0.4225226953
