iter	Passed	Remaining
0	157	31363
1	160	15934
2	164	10785
3	167	8216
4	171	6678
5	174	5647
6	178	4910
7	181	4363
8	185	3929
9	189	3591
10	192	3305
11	195	3067
12	199	2863
13	202	2688
14	205	2533
15	208	2398
16	211	2278
17	214	2170
18	218	2083
19	221	1997
20	224	1917
21	228	1845
22	233	1798
23	238	1752
24	249	1743
25	253	1694
26	261	1678
27	276	1699
28	281	1661
29	287	1627
30	291	1590
31	295	1553
32	299	1515
33	302	1478
34	306	1444
35	309	1411
36	313	1382
37	319	1362
38	324	1338
39	328	1314
40	332	1288
41	335	1262
42	339	1238
43	342	1215
44	346	1192
45	348	1168
46	352	1146
47	356	1128
48	359	1108
49	363	1090
50	367	1072
51	371	1056
52	377	1045
53	385	1042
54	391	1031
55	395	1015
56	399	1001
57	402	985
58	405	970
59	409	955
60	412	940
61	416	926
62	419	912
63	424	902
64	428	889
65	431	875
66	434	863
67	439	853
68	442	840
69	445	828
70	448	815
71	452	803
72	455	793
73	458	781
74	461	769
75	464	758
76	467	746
77	470	736
78	473	725
79	476	714
80	479	704
81	482	694
82	487	687
83	491	678
84	494	668
85	497	660
86	502	652
87	505	642
88	508	634
89	511	625
90	515	617
91	519	610
92	522	601
93	526	593
94	529	585
95	532	576
96	535	569
97	538	560
98	541	552
99	545	545
100	548	537
101	551	530
102	554	522
103	557	514
104	560	507
105	563	499
106	566	492
107	569	485
108	572	478
109	575	470
110	578	463
111	581	457
112	584	449
113	587	442
114	590	436
115	593	429
116	596	423
117	599	416
118	602	410
119	605	403
120	608	397
121	611	391
122	614	384
123	618	378
124	620	372
125	623	366
126	626	359
127	629	354
128	633	348
129	636	342
130	639	336
131	642	330
132	646	325
133	649	319
134	652	314
135	655	308
136	657	302
137	661	297
138	664	291
139	667	285
140	670	280
141	673	274
142	676	269
143	679	264
144	682	258
145	685	253
146	688	248
147	691	242
148	694	237
149	697	232
150	699	227
151	702	221
152	705	216
153	710	212
154	714	207
155	717	202
156	720	197
157	723	192
158	727	187
159	729	182
160	732	177
161	735	172
162	738	167
163	742	163
164	745	158
165	749	153
166	752	148
167	757	144
168	760	139
169	763	134
170	766	130
171	771	125
172	775	120
173	778	116
174	781	111
175	784	106
176	787	102
177	790	97
178	793	93
179	796	88
180	800	83
181	805	79
182	808	75
183	811	70
184	814	66
185	816	61
186	819	56
187	822	52
188	825	48
189	828	43
190	830	39
191	834	34
192	837	30
193	840	25
194	843	21
195	846	17
196	850	12
197	852	8
198	855	4
199	858	0
