iter	Passed	Remaining
0	142	28350
1	145	14408
2	148	9739
3	152	7451
4	156	6103
5	159	5144
6	164	4533
7	167	4022
8	171	3631
9	174	3312
10	177	3045
11	179	2819
12	183	2634
13	186	2474
14	189	2336
15	192	2210
16	194	2095
17	196	1991
18	201	1924
19	204	1844
20	207	1768
21	210	1702
22	213	1639
23	216	1585
24	219	1533
25	257	1725
26	261	1675
27	266	1634
28	270	1594
29	273	1548
30	276	1505
31	279	1469
32	283	1435
33	287	1403
34	290	1369
35	293	1335
36	296	1306
37	299	1276
38	301	1244
39	304	1216
40	306	1188
41	308	1162
42	311	1138
43	314	1116
44	317	1094
45	320	1072
46	322	1051
47	325	1031
48	328	1013
49	332	996
50	334	978
51	336	958
52	339	942
53	342	925
54	344	908
55	347	894
56	350	879
57	353	864
58	355	849
59	358	835
60	361	823
61	364	810
62	366	797
63	370	786
64	372	773
65	376	763
66	378	751
67	381	741
68	384	729
69	386	718
70	389	708
71	392	697
72	395	687
73	397	676
74	399	665
75	402	656
76	405	647
77	408	638
78	410	629
79	413	620
80	416	611
81	418	602
82	421	594
83	424	585
84	426	577
85	429	569
86	431	560
87	434	552
88	437	545
89	439	537
90	442	529
91	445	522
92	447	515
93	450	508
94	453	500
95	456	494
96	458	487
97	461	480
98	464	473
99	466	466
100	469	459
101	471	453
102	474	447
103	477	440
104	479	434
105	482	427
106	485	422
107	488	416
108	491	410
109	493	403
110	496	397
111	498	391
112	502	386
113	505	381
114	508	375
115	510	370
116	513	364
117	516	358
118	519	353
119	521	347
120	524	342
121	527	337
122	529	331
123	532	326
124	536	321
125	538	316
126	541	311
127	544	306
128	546	300
129	550	296
130	552	291
131	555	286
132	557	281
133	560	276
134	563	271
135	566	266
136	569	261
137	571	256
138	574	252
139	576	247
140	580	242
141	583	238
142	586	233
143	588	229
144	591	224
145	593	219
146	597	215
147	599	210
148	602	206
149	605	201
150	607	197
151	610	192
152	613	188
153	616	184
154	618	179
155	621	175
156	624	170
157	626	166
158	629	162
159	632	158
160	634	153
161	637	149
162	640	145
163	643	141
164	645	136
165	648	132
166	651	128
167	653	124
168	656	120
169	659	116
170	661	112
171	664	108
172	667	104
173	669	100
174	672	96
175	675	92
176	678	88
177	681	84
178	683	80
179	686	76
180	689	72
181	692	68
182	694	64
183	697	60
184	700	56
185	702	52
186	705	49
187	708	45
188	711	41
189	713	37
190	717	33
191	720	30
192	723	26
193	726	22
194	729	18
195	731	14
196	734	11
197	737	7
198	740	3
199	742	0
