accuracy_score,F1_score,roc_auc_score
70.21%,70.19%,70.21%
70.62%,70.6%,70.63%
70.73%,70.78%,70.73%
71.11%,71.29%,71.11%
69.64%,69.19%,69.64%
69.75%,69.34%,69.75%
69.64%,69.05%,69.64%
69.72%,69.19%,69.72%
70.88%,71.07%,70.87%
71.3%,71.56%,71.3%
70.68%,71.02%,70.67%
70.65%,70.94%,70.65%
69.6%,69.42%,69.6%
70.2%,70.01%,70.2%
69.55%,69.16%,69.55%
70.0%,69.88%,70.01%
69.1%,69.26%,69.11%
69.51%,69.81%,69.52%
69.18%,69.54%,69.19%
69.51%,69.75%,69.52%
70.43%,70.34%,70.45%
70.67%,70.46%,70.68%
70.2%,70.05%,70.21%
70.48%,70.35%,70.49%
70.12%,70.47%,70.12%
69.63%,69.88%,69.63%
71.0%,71.3%,70.99%
70.39%,70.71%,70.39%
70.19%,69.96%,70.2%
71.2%,71.0%,71.21%
70.64%,70.23%,70.65%
71.09%,70.75%,71.1%
73.26%,73.08%,73.26%
72.81%,72.7%,72.81%
73.07%,73.16%,73.07%
72.91%,72.94%,72.92%
72.35%,72.27%,72.35%
71.92%,71.71%,71.92%
72.1%,72.03%,72.11%
72.68%,72.66%,72.68%
