accuracy_score,F1_score,roc_auc_score
72.18%,71.76%,72.21%
72.07%,71.99%,72.08%
72.23%,72.02%,72.26%
72.62%,72.67%,72.63%
71.43%,71.54%,71.45%
71.43%,71.8%,71.43%
70.71%,70.84%,70.73%
71.34%,71.81%,71.34%
74.25%,74.56%,74.25%
73.51%,74.12%,73.51%
73.24%,73.6%,73.24%
73.67%,74.19%,73.66%
71.33%,71.79%,71.33%
71.89%,72.16%,71.9%
71.81%,72.41%,71.79%
72.33%,73.0%,72.31%
72.47%,72.67%,72.47%
72.34%,72.74%,72.33%
72.01%,72.11%,72.01%
72.34%,72.63%,72.33%
73.82%,73.72%,73.84%
73.12%,72.73%,73.11%
72.99%,72.64%,72.99%
73.28%,73.15%,73.29%
72.61%,71.93%,72.59%
71.9%,71.34%,71.89%
71.53%,70.81%,71.51%
72.02%,71.3%,72.01%
73.35%,73.86%,73.35%
71.62%,72.0%,71.63%
72.62%,73.19%,72.61%
72.31%,72.81%,72.31%
74.55%,74.4%,74.56%
73.31%,73.11%,73.32%
74.55%,74.5%,74.55%
73.86%,73.89%,73.86%
74.43%,74.19%,74.46%
73.73%,73.04%,73.78%
74.82%,74.64%,74.84%
75.2%,75.01%,75.23%
