MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6791197494,37,32,40,38,46,43,48,52,41,40,44
KR_6779094788,35,49,34,29,32,38,47,42,38,63,42
KR_6788158537,48,33,52,38,37,35,41,46,47,56,44
KR_6778876276,37,55,42,35,45,46,46,46,67,53,29
KR_6782732955,37,31,46,48,33,31,51,52,37,48,41
KR_6766677178,50,44,37,34,56,33,33,52,40,37,49
KR_6768530493,43,45,42,27,36,53,42,40,40,50,46
KR_6790302789,45,37,42,29,29,52,37,30,34,33,27
KR_6785297282,41,37,32,38,38,29,45,43,35,53,55
KR_6784980435,26,33,41,31,45,45,32,43,37,36,34
KR_6769534743,41,38,39,28,31,43,26,37,43,46,41
